SAMPLE NAME,Nnet,Cnet ,ROIAREA,ROIDIAM
F1-3,8.36058E-05,0.315196373,2.362061,1.734205
F1-3,0.00019377,0.296528922,3.419495,2.086585
F1-3,0.000173377,0.278348862,2.980042,1.947898
F1-3,4.97104E-05,0.318802449,1.826477,1.524973
F1-3,0.000124731,0.189434889,1.565552,1.411851
F1-3,0.000258244,0.280480304,1.359558,1.315691
F1-3,0.000283658,0.285882794,1.991272,1.592283
F1-3,0.0002691,0.28304161,0.2471924,0.5610126
F1-3,0.000174923,0.308309551,1.373291,1.322319
F1-3,9.40907E-05,0.285515689,1.593018,1.424181
F1-3,0.000141103,0.238450173,3.501892,2.111575
F1-3,0.00016585,0.267023115,1.387024,1.328914
F1-3,0.000113704,0.17422708,1.249695,1.261412
F1-3,0.0003211,0.219746847,1.524353,1.39315
F1-3,0.000173268,0.264075101,2.059937,1.619504
F1-3,5.53155E-05,0.303038368,1.167297,1.219118
F1-3,0.000183533,0.316358985,3.927612,2.236245
F1-3,-0.000246555,0.335680444,0.8651733,1.049558
F1-3,-9.47209E-06,0.312042667,0.9338379,1.090412
F1-3,0.000184286,0.36497121,0.8102417,1.015693
F1-3,9.12484E-05,0.395717597,1.84021,1.530695
F1-3,0.00020538,0.20836826,1.963806,1.581264
F1-3,-3.91034E-05,0.233220441,2.348328,1.729157
F1-3,0.000207801,0.182334585,1.373291,1.322319
F1-3,9.93725E-05,0.289049409,1.029968,1.145162
F1-3,0.000126093,0.350461053,1.977539,1.586783
F1-3,0.000367599,0.273141993,0.9475708,1.098401
F1-3,9.51386E-05,0.348598971,5.081177,2.543532
F1-3,0.000260933,0.436854647,1.016235,1.137502
F1-3,-3.25681E-06,0.289944484,2.430725,1.759231
F1-3,0.00012836,0.335645741,2.801514,1.88865
F1-3,0.000276547,0.164315857,3.186035,2.014097
F1-3,0.00023207,0.323599468,1.895142,1.553373
F1-3,0.000135564,0.304258218,2.581787,1.813073
F1-3,0.000256071,0.332775096,2.471924,1.774078
F1-3,0.000162204,0.224943321,1.565552,1.411851
F1-3,-6.27103E-05,0.307112524,1.551819,1.405645
F1-3,9.7552E-05,0.323181165,2.1698,1.66213
F1-3,0.000219456,0.262062049,2.26593,1.69855
F1-3,6.71785E-05,0.325598475,3.488159,2.10743
F1-3,0.00016403,0.394929028,2.128601,1.646274
F1-3,7.8909E-05,0.272090401,2.142334,1.651576
F1-3,0.000145912,0.283050877,1.41449,1.342008
F1-3,-3.09087E-05,0.337476389,1.757813,1.496034
F1-3,0.000175316,0.507669465,0.6729126,0.9256235
F1-3,4.09735E-05,0.358436589,1.84021,1.530695
F1-3,8.69444E-05,0.238824715,3.103638,1.987882
F1-3,0.000270546,0.316946392,1.524353,1.39315
F1-3,0.000218705,0.293338101,1.675415,1.460549
F1-3,0.000166115,0.183484968,2.526855,1.793681
F1-3,0.000203566,0.206570669,1.332092,1.302333
F1-3,7.15025E-05,0.356235125,1.551819,1.405645
F1-3,0.000169492,0.306210419,1.702881,1.472472
F1-3,0.000167028,0.261194093,1.126099,1.197411
F1-3,8.79263E-05,0.362906639,1.277161,1.275199
F1-3,0.000184788,0.307459346,1.400757,1.335477
F1-3,0.000198737,0.229018507,1.634216,1.44248
F1-3,0.000290058,0.228165375,1.029968,1.145162
F1-3,0.000124002,0.311545878,1.60675,1.430307
F1-3,0.000130453,0.2884072,2.540588,1.798549
F1-3,0.000111592,0.366893355,2.156067,1.656861
F1-3,0.000152964,0.216567132,1.441956,1.354974
F1-3,0.000293516,0.295350872,2.224731,1.683038
F1-3,0.000154211,0.277458201,1.002502,1.12979
F1-3,7.493E-05,0.365891082,2.279663,1.703689
F1-3,0.000210723,0.200260818,2.087402,1.630265
F1-3,0.000210837,0.223131693,1.689148,1.466523
F1-3,0.000189898,0.388780025,1.41449,1.342008
F1-3,8.96217E-05,0.394339827,2.059937,1.619504
F1-3,-7.09342E-05,0.401480374,1.249695,1.261412
F1-3,7.95381E-05,0.379702502,2.444458,1.764194
F1-3,0.000228528,0.265324775,1.400757,1.335477
F1-3,0.000115876,0.377334606,1.428223,1.348506
F1-3,0.000176632,0.280288105,0.7278442,0.962663
F1-3,0.000429792,0.3041332,1.002502,1.12979
F1-3,0.000212591,0.392358311,1.126099,1.197411
F1-3,0.000222937,0.250852432,1.799011,1.513464
F1-3,9.50801E-05,0.282549629,1.373291,1.322319
F1-3,0.000201254,0.249697315,1.208496,1.240445
F1-3,0.000158473,0.310097426,1.551819,1.405645
F1-3,7.60451E-05,0.279544036,0.617981,0.8870388
F1-3,0.000206262,0.400863074,1.826477,1.524973
F1-3,0.000130742,0.324166088,1.469421,1.367818
F1-3,0.000104838,0.473324719,0.6317139,0.8968406
F1-3,9.23241E-05,0.320374157,1.524353,1.39315
F1-3,2.9921E-05,0.448058176,1.345825,1.309029
F1-3,2.71398E-05,0.383282436,1.826477,1.524973
F1-3,9.10573E-05,0.396209874,1.0849,1.175303
F1-3,0.000259067,0.346562697,1.991272,1.592283
F1-3,9.61518E-05,0.238447142,1.18103,1.226268
F1-3,0.000195203,0.304639699,0.7965088,1.007048
F1-3,0.000317579,0.215957355,2.114868,1.640955
F1-3,0.000112738,0.202950051,1.826477,1.524973
F1-3,0.000246699,0.284389194,3.598022,2.140361
F1-3,0.000206604,0.249003396,0.3570557,0.6742532
F1-3,0.000179396,0.266992765,0.7003784,0.9443249
F1-3,6.50005E-05,0.22231706,0.4257202,0.7362362
F1-3,0.000211037,0.35657168,2.416992,1.754255
F1-3,0.000122819,0.345994576,2.526855,1.793681
F1-3,-0.000150148,0.352962371,1.428223,1.348506
F1-3,0.000134421,0.321853519,1.400757,1.335477
F1-3,7.56409E-05,0.391080309,2.801514,1.88865
F1-3,-0.000213357,0.247572965,0.1647949,0.4580649
F1-3,0.000319439,0.303040181,1.016235,1.137502
F1-3,0.000115304,0.294498011,1.139832,1.20469
F1-3,0.000300999,0.245956067,1.112366,1.190087
F1-3,0.000135824,0.257729482,2.883911,1.916223
F1-3,0.000126707,0.342884982,2.403259,1.749264
F1-3,4.4485E-05,0.317954356,1.963806,1.581264
F1-3,0.000107712,0.493804347,0.453186,0.7596146
F1-3,-1.77455E-07,0.330997669,2.416992,1.754255
F1-3,0.000106604,0.348900288,0.4943848,0.7933916
F1-3,0.000339541,0.41567455,0.7553101,0.9806582
F1-3,0.000236056,0.256117432,1.016235,1.137502
F1-3,0.00021163,0.330528683,3.062439,1.974644
F1-3,3.77726E-05,0.32855684,2.581787,1.813073
F1-3,3.33778E-05,0.375010924,2.334595,1.724093
F1-3,0.000142307,0.391545703,0.6866455,0.9350209
F1-3,-0.000100633,0.238217902,0.7827759,0.9983292
F1-3,0.000266063,0.28008107,2.650452,1.837025
F1-3,0.000101967,0.303919048,0.5493164,0.8363082
F1-3,0.000408819,0.359086967,0.3158569,0.6341621
F1-3,0.000107396,0.369268445,0.3707886,0.6870973
F1-3,-7.53397E-06,0.349753993,0.1922607,0.4947666
F1-3,-5.13972E-05,0.330975581,0.769043,0.9895331
F1-3,0.000232486,0.295986689,2.746582,1.870042
F1-3,0.000195513,0.308699993,1.263428,1.268324
F1-3,-2.79443E-05,0.273128089,1.538086,1.399411
F1-3,0.000200117,0.269659482,0.2197266,0.5289277
F1-3,0.000130645,0.293299254,1.702881,1.472472
F1-3,0.000220036,0.348814548,1.977539,1.586783
F1-3,-1.76215E-05,0.346755559,1.098633,1.182718
F1-3,4.91488E-05,0.427037377,1.0849,1.175303
F1-3,0.000249259,0.284614202,1.483154,1.374195
F1-3,7.24971E-05,0.286314228,1.400757,1.335477
F1-3,-0.000137171,0.387445332,0.5081177,0.8043354
F1-3,0.000117622,0.300490062,1.153564,1.211926
F1-3,0.000329401,0.280064492,1.93634,1.570167
F1-3,1.73735E-06,0.459666868,0.4806519,0.7822946
F1-3,5.71135E-05,0.335192128,2.032471,1.608671
F1-3,0.000321063,0.350954111,1.167297,1.219118
F1-3,8.18847E-05,0.44481129,0.3158569,0.6341621
F1-3,0.00018279,0.255697329,2.980042,1.947898
F1-3,0.000344447,0.330752176,0.8102417,1.015693
F1-3,0.000276255,0.269629448,0.3982544,0.7120907
F1-3,-0.00014172,0.532938256,0.4943848,0.7933916
F1-3,0.000212693,0.244714006,1.881409,1.547735
F1-3,-5.28807E-05,0.300416885,1.51062,1.38686
F1-3,0.000344098,0.221466354,1.387024,1.328914
F1-3,0.000163196,0.310819666,0.604248,0.8771274
F1-3,-6.36009E-06,0.307037678,1.194763,1.233377
F1-3,0.000216137,0.358072098,1.963806,1.581264
