sample_name,value,version
F1-3,0.00043928,1
F1-3,0.00020009,1
F1-3,0.0005411,1
F1-3,0.000340091,1
F1-3,0.00029744,1
F1-3,-4.41E-05,1
F1-3,0.000147003,1
F1-3,0.000237413,1
F1-3,0.00010544,1
F1-3,-7.81E-05,1
F1-3,0.000192718,1
F1-3,0.000333783,1
F1-3,6.73E-05,1
F1-3,-8.18E-05,1
F1-3,4.63E-05,1
F1-3,0.000246469,1
F1-3,0.000175135,1
F1-3,0.000130807,1
F1-3,0.000222354,1
F1-3,0.000178308,1
F1-3,0.000123432,1
F1-3,0.000360819,1
F1-3,9.97E-05,1
F1-3,0.000166384,1
F1-3,3.34E-05,1
F1-3,0.000184259,1
F1-3,0.000201222,1
F1-3,0.000116324,1
F1-3,0.000156587,1
F1-3,-0.000107852,1
F1-3,1.66E-05,1
F1-3,8.01E-05,1
F1-3,0.000127241,1
F1-3,0.000208116,1
F1-3,2.52E-06,1
F1-3,0.000250588,1
F1-3,-1.77E-05,1
F1-3,0.000341253,1
F1-3,0.000248366,1
F1-3,0.000370824,1
F1-3,0.000301738,1
F1-3,0.000414576,1
F1-3,0.00021152,1
F1-3,0.000273601,1
F1-3,-6.37E-05,1
F1-3,0.000181025,1
F1-3,-7.78E-05,1
F1-3,-2.44E-05,1
F1-3,0.000349545,1
F1-3,0.000581068,1
F1-3,6.81E-05,1
F1-3,-4.09E-05,1
F1-3,0.000219789,1
F1-3,-5.43E-05,1
F1-3,0.00018897,1
F1-3,0.000189036,1
F1-3,3.16E-05,1
F1-3,0.000498728,1
F1-3,0.000357872,1
F1-3,0.000315517,1
F1-3,0.000240342,1
F1-3,0.00012053,1
F1-3,0.000263695,1
F1-3,4.11E-06,1
F1-3,9.91E-05,1
F1-3,0.000317378,1
F1-3,0.000289309,1
F1-3,0.000318718,1
F1-3,0.00020733,1
F1-3,0.000175324,1
F1-3,0.000134842,1
F1-3,0.000239766,1
F1-3,8.10E-05,1
F1-3,0.000506901,1
F1-3,0.00020123,1
F1-3,0.000414597,1
F1-3,0.000537691,1
F1-3,0.000216387,1
F1-3,0.000111842,1
F1-3,-8.14E-05,1
F1-3,2.04E-05,1
F1-3,-0.000102253,1
F1-3,4.07E-05,1
F1-3,0.000485691,1
F1-4,0.000284155,1
F1-4,-1.71E-05,1
F1-4,0.000128387,1
F1-4,0.000248532,1
F1-4,0.00031951,1
F1-4,0.000681565,1
F1-4,0.000309552,1
F1-4,0.000909267,1
F1-4,-5.48E-05,1
F1-4,0.000171927,1
F1-4,0.00064221,1
F1-4,0.000344899,1
F1-4,0.000619358,1
F1-4,-0.000155916,1
F1-4,0.000871391,1
F1-4,2.50E-05,1
F1-4,0.000150528,1
F1-4,0.000537517,1
F1-4,0.000169676,1
F1-4,0.000597075,1
F1-4,-0.000109823,1
F1-4,4.57E-05,1
F1-4,0.000114664,1
F1-4,0.000244458,1
F1-4,-2.85E-05,1
F1-4,0.000815136,1
F1-4,4.52E-05,1
F1-4,0.000633296,1
F1-4,3.86E-05,1
F1-4,0.000313672,1
F1-4,0.000186003,1
F1-4,0.000248263,1
F1-4,0.000528468,1
F1-4,8.62E-05,1
F1-4,0.000585983,1
F1-4,0.000270553,1
F1-4,0.000262388,1
F1-4,8.90E-05,1
F1-4,0.000160895,1
F1-4,0.000136221,1
F1-4,0.000133609,1
F1-4,0.000158256,1
F1-4,0.000871572,1
F1-4,0.000310598,1
F1-4,0.000346304,1
F1-4,0.000488041,1
F1-4,0.000601796,1
F1-4,0.000496875,1
F1-4,2.28E-05,1
F1-4,0.000626292,1
F1-4,0.000508348,1
F1-4,0.000393496,1
F1-4,0.000571548,1
F1-4,0.000567125,1
F1-4,0.00094165,1
F1-4,0.000633421,1
F1-4,0.002168599,1
F1-4,0.000315255,1
F1-4,0.000817856,1
F1-4,0.000219626,1
F1-4,0.000190438,1
F1-4,-0.000425593,1
F1-4,0.000389151,1
F1-4,0.000260768,1
F1-4,0.000614147,1
F1-4,0.000325299,1
F1-4,0.000308695,1
F1-4,0.00027772,1
F1-4,0.000183033,1
F1-4,-0.000326607,1
F1-4,-0.000139311,1
F1-4,0.000223062,1
F1-4,-0.000118915,1
F1-4,0.000637731,1
F1-4,0.00027906,1
F1-4,0.000214072,1
F1-4,0.00027911,1
F1-4,-5.11E-06,1
F1-4,0.000977522,1
F1-4,0.000534282,1
F1-4,0.000152098,1
F1-4,0.000121171,1
F1-4,0.000903997,1
F1-4,0.000226847,1
F1-4,0.000358247,1
F1-4,-2.76E-05,1
F1-4,0.000872189,1
F1-4,0.000275011,1
F1-4,0.000404979,1
F1-4,0.000196607,1
F1-4,0.00072068,1
F1-4,0.00068501,1
F1-4,0.000802456,1
F1-4,0.000146869,1
F1-4,0.000346405,1
